venue,inning,total_runs,total_wickets,matches,avg_runs_per_match,avg_wickets_per_match
Arun Jaitley Stadium,1,2255,84,14,161.1,6.0
Arun Jaitley Stadium,2,2079,85,14,148.5,6.1
Arun Jaitley Stadium,3,10,1,1,10.0,1.0
Arun Jaitley Stadium,4,7,1,1,7.0,1.0
"Arun Jaitley Stadium, Delhi",1,3041,89,16,190.1,5.6
"Arun Jaitley Stadium, Delhi",2,2767,104,16,172.9,6.5
Barabati Stadium,1,1136,42,7,162.3,6.0
Barabati Stadium,2,1059,38,7,151.3,5.4
"Barsapara Cricket Stadium, Guwahati",1,522,18,3,174.0,6.0
"Barsapara Cricket Stadium, Guwahati",2,458,21,3,152.7,7.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,2089,85,13,160.7,6.5
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,1861,84,13,143.2,6.5
Brabourne Stadium,1,1686,58,10,168.6,5.8
Brabourne Stadium,2,1577,62,10,157.7,6.2
"Brabourne Stadium, Mumbai",1,2862,109,17,168.4,6.4
"Brabourne Stadium, Mumbai",2,2635,102,17,155.0,6.0
Buffalo Park,1,406,19,3,135.3,6.3
Buffalo Park,2,336,19,3,112.0,6.3
De Beers Diamond Oval,1,458,19,3,152.7,6.3
De Beers Diamond Oval,2,400,20,3,133.3,6.7
Dr DY Patil Sports Academy,1,2325,118,17,136.8,6.9
Dr DY Patil Sports Academy,2,2165,98,17,127.4,5.8
"Dr DY Patil Sports Academy, Mumbai",1,3223,126,20,161.2,6.3
"Dr DY Patil Sports Academy, Mumbai",2,2976,128,20,148.8,6.4
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,1963,82,13,151.0,6.3
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,1622,81,13,124.8,6.2
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1,430,12,2,215.0,6.0
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2,308,16,2,154.0,8.0
Dubai International Cricket Stadium,1,7159,265,46,155.6,5.8
Dubai International Cricket Stadium,2,6539,273,46,142.2,5.9
Dubai International Cricket Stadium,3,13,5,3,4.3,1.7
Dubai International Cricket Stadium,4,18,1,3,6.0,0.3
Dubai International Cricket Stadium,5,9,1,1,9.0,1.0
Dubai International Cricket Stadium,6,15,0,1,15.0,0.0
Eden Gardens,1,11719,480,77,152.2,6.2
Eden Gardens,2,10724,398,77,139.3,5.2
"Eden Gardens, Kolkata",1,2951,103,16,184.4,6.4
"Eden Gardens, Kolkata",2,2788,90,16,174.2,5.6
Feroz Shah Kotla,1,9165,357,59,155.3,6.1
Feroz Shah Kotla,2,8283,337,59,140.4,5.7
Green Park,1,613,31,4,153.2,7.8
Green Park,2,623,18,4,155.8,4.5
Himachal Pradesh Cricket Association Stadium,1,1488,43,9,165.3,4.8
Himachal Pradesh Cricket Association Stadium,2,1232,61,9,136.9,6.8
"Himachal Pradesh Cricket Association Stadium, Dharamsala",1,783,23,4,195.8,5.8
"Himachal Pradesh Cricket Association Stadium, Dharamsala",2,673,33,4,168.2,8.2
Holkar Cricket Stadium,1,1367,62,9,151.9,6.9
Holkar Cricket Stadium,2,1368,30,9,152.0,3.3
JSCA International Stadium Complex,1,1000,39,7,142.9,5.6
JSCA International Stadium Complex,2,956,42,7,136.6,6.0
Kingsmead,1,2163,107,15,144.2,7.1
Kingsmead,2,1913,94,15,127.5,6.3
M Chinnaswamy Stadium,1,9978,382,63,158.4,6.1
M Chinnaswamy Stadium,2,8768,347,63,139.2,5.5
M Chinnaswamy Stadium,3,15,0,1,15.0,0.0
M Chinnaswamy Stadium,4,11,2,1,11.0,2.0
"M Chinnaswamy Stadium, Bengaluru",1,2617,84,14,186.9,6.0
"M Chinnaswamy Stadium, Bengaluru",2,2423,95,14,173.1,6.8
M.Chinnaswamy Stadium,1,2442,89,14,174.4,6.4
M.Chinnaswamy Stadium,2,2356,82,14,168.3,5.9
MA Chidambaram Stadium,1,1310,48,9,145.6,5.3
MA Chidambaram Stadium,2,1153,52,9,128.1,5.8
"MA Chidambaram Stadium, Chepauk",1,7551,266,48,157.3,5.5
"MA Chidambaram Stadium, Chepauk",2,6902,297,48,143.8,6.2
"MA Chidambaram Stadium, Chepauk",3,9,2,1,9.0,2.0
"MA Chidambaram Stadium, Chepauk",4,10,1,1,10.0,1.0
"MA Chidambaram Stadium, Chepauk, Chennai",1,4357,193,28,155.6,6.9
"MA Chidambaram Stadium, Chepauk, Chennai",2,3992,164,28,142.6,5.9
"MA Chidambaram Stadium, Chepauk, Chennai",3,6,0,1,6.0,0.0
"MA Chidambaram Stadium, Chepauk, Chennai",4,5,0,1,5.0,0.0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,797,43,5,159.4,8.6
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2,796,36,5,159.2,7.2
Maharashtra Cricket Association Stadium,1,3476,131,22,158.0,6.0
Maharashtra Cricket Association Stadium,2,3211,128,22,146.0,5.8
"Maharashtra Cricket Association Stadium, Pune",1,2121,75,13,163.2,5.8
"Maharashtra Cricket Association Stadium, Pune",2,1792,100,13,137.8,7.7
"Narendra Modi Stadium, Ahmedabad",1,4040,150,24,168.3,6.2
"Narendra Modi Stadium, Ahmedabad",2,3768,134,24,157.0,5.6
Nehru Stadium,1,691,28,5,138.2,5.6
Nehru Stadium,2,595,34,5,119.0,6.8
New Wanderers Stadium,1,1098,52,8,137.2,6.5
New Wanderers Stadium,2,1086,40,8,135.8,5.0
Newlands,1,924,50,7,132.0,7.1
Newlands,2,728,42,7,104.0,6.0
Newlands,3,14,1,1,14.0,1.0
Newlands,4,18,0,1,18.0,0.0
OUTsurance Oval,1,251,12,2,125.5,6.0
OUTsurance Oval,2,237,13,2,118.5,6.5
Punjab Cricket Association IS Bindra Stadium,1,1693,58,10,169.3,5.8
Punjab Cricket Association IS Bindra Stadium,2,1641,46,10,164.1,4.6
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,1737,64,11,157.9,5.8
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,1679,51,11,152.6,4.6
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1,930,25,5,186.0,5.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2,828,35,5,165.6,7.0
"Punjab Cricket Association Stadium, Mohali",1,5407,223,35,154.5,6.4
"Punjab Cricket Association Stadium, Mohali",2,5014,188,35,143.3,5.4
Rajiv Gandhi International Stadium,1,2331,95,15,155.4,6.3
Rajiv Gandhi International Stadium,2,2108,95,15,140.5,6.3
"Rajiv Gandhi International Stadium, Uppal",1,7275,312,49,148.5,6.4
"Rajiv Gandhi International Stadium, Uppal",2,6870,253,49,140.2,5.2
"Rajiv Gandhi International Stadium, Uppal",3,19,0,1,19.0,0.0
"Rajiv Gandhi International Stadium, Uppal",4,15,0,1,15.0,0.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,2360,75,13,181.5,5.8
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,2180,69,13,167.7,5.3
"Sardar Patel Stadium, Motera",1,1866,79,12,155.5,6.6
"Sardar Patel Stadium, Motera",2,1705,62,12,142.1,5.2
"Sardar Patel Stadium, Motera",3,13,2,1,13.0,2.0
"Sardar Patel Stadium, Motera",4,5,2,1,5.0,2.0
Saurashtra Cricket Association Stadium,1,1640,62,10,164.0,6.2
Saurashtra Cricket Association Stadium,2,1545,45,10,154.5,4.5
Saurashtra Cricket Association Stadium,3,11,2,1,11.0,2.0
Saurashtra Cricket Association Stadium,4,2,0,1,2.0,0.0
Sawai Mansingh Stadium,1,6968,272,47,148.3,5.8
Sawai Mansingh Stadium,2,6505,246,47,138.4,5.2
"Sawai Mansingh Stadium, Jaipur",1,1711,53,10,171.1,5.3
"Sawai Mansingh Stadium, Jaipur",2,1562,52,10,156.2,5.2
Shaheed Veer Narayan Singh International Stadium,1,837,37,6,139.5,6.2
Shaheed Veer Narayan Singh International Stadium,2,827,23,6,137.8,3.8
Sharjah Cricket Stadium,1,4217,174,28,150.6,6.2
Sharjah Cricket Stadium,2,3942,148,28,140.8,5.3
Sheikh Zayed Stadium,1,4404,169,29,151.9,5.8
Sheikh Zayed Stadium,2,4039,156,29,139.3,5.4
Sheikh Zayed Stadium,3,12,4,2,6.0,2.0
Sheikh Zayed Stadium,4,12,0,2,6.0,0.0
St George's Park,1,1054,33,7,150.6,4.7
St George's Park,2,850,44,7,121.4,6.3
Subrata Roy Sahara Stadium,1,2270,82,16,141.9,5.1
Subrata Roy Sahara Stadium,2,2026,101,16,126.6,6.3
SuperSport Park,1,1734,76,12,144.5,6.3
SuperSport Park,2,1706,57,12,142.2,4.8
"Vidarbha Cricket Association Stadium, Jamtha",1,419,24,3,139.7,8.0
"Vidarbha Cricket Association Stadium, Jamtha",2,403,24,3,134.3,8.0
Wankhede Stadium,1,11486,444,73,157.3,6.1
Wankhede Stadium,2,10672,448,73,146.2,6.1
Wankhede Stadium,3,8,2,1,8.0,2.0
Wankhede Stadium,4,9,0,1,9.0,0.0
"Wankhede Stadium, Mumbai",1,7528,281,45,167.3,6.2
"Wankhede Stadium, Mumbai",2,7216,247,45,160.4,5.5
"Zayed Cricket Stadium, Abu Dhabi",1,1214,54,8,151.8,6.8
"Zayed Cricket Stadium, Abu Dhabi",2,1158,39,8,144.8,4.9
